Precio,Habitaciones,Baños,Parqueos,Sector,Condicion,Uso Actual,mt2,Piso/Nivel,Ascensor,Edificable,Agno Construccion,Planta Electrica,Seguridad 24 Horas,Control de Acceso,Piscina,Gimnasio,Medio baño
2600.0,2,2,2, Bella Vista,Segundo Uso,Residencial,150.5397022332506,2,True,False,2023,True,True,True,True,True,False
2600.0,2,2,2, Bella Vista,Nueva,Mixto,150.5397022332506,2,True,False,2023,False,False,False,True,True,True
2900.0,2,2,2, Bella Vista,Nueva,Residencial,150.5397022332506,5,True,False,2023,True,True,True,True,True,False
2900.0,2,2,2, Bella Vista,Nueva,Residencial,150.5397022332506,2,True,False,2023,True,True,True,True,True,False
2500.0,2,3,2, Malecón,Segundo Uso,Residencial,282.0,14,True,False,2019,False,False,False,True,True,False
3700.0,3,3,2, La Julia,Segundo Uso,Residencial,150.5397022332506,7,True,False,2021,True,True,True,True,True,True
2500.0,2,2,2, Piantini,Segundo Uso,Residencial,137.0,5,True,False,2022,True,True,True,True,True,True
2500.0,2,2,2, Piantini,Segundo Uso,Residencial,160.0,5,True,False,2021,True,True,True,True,True,True
2500.0,2,2,2, Piantini,Nueva,Mixto,150.5397022332506,14,True,False,2021,False,False,False,True,True,True
1900.0,2,2,2, Piantini,Segundo Uso,Residencial,150.5397022332506,5,True,False,2021,True,True,True,False,True,True
2500.0,3,3,3, Malecón,Segundo Uso,Residencial,265.0,8,True,False,2019,True,True,True,True,True,True
2800.0,3,2,2, Bella Vista,Segundo Uso,Residencial,220.0,14,True,False,2023,True,True,True,True,True,True
2150.0,2,2,2, Ensanche Naco,Nueva,Residencial,159.0,6,True,False,2023,True,True,True,False,True,True
1950.0,3,3,2, Ensanche Naco,Remodelada,Residencial,185.0,10,True,False,2023,False,False,False,True,False,True
2100.0,2,2,2, La Esperilla,Segundo Uso,Residencial,109.0,8,True,False,2021,True,True,True,False,True,True
2300.0,3,2,2, La Esperilla,Segundo Uso,Residencial,260.0,6,True,False,2021,False,True,False,False,False,True
3500.0,3,3,2, Los Cacicazgos,Segundo Uso,Residencial,242.0,6,False,False,2023,True,True,False,False,True,True
2800.0,2,2,2, Bella Vista,Segundo Uso,Residencial,127.0,2,True,False,2023,False,False,False,True,True,True
2800.0,2,2,2, Bella Vista,Segundo Uso,Residencial,127.0,2,False,False,2023,False,False,False,True,True,True
1590.0,3,3,2, Los Cacicazgos,Segundo Uso,Residencial,243.0,5,True,False,2023,True,False,True,False,True,True
2400.0,3,3,3, Urb. Real,Segundo Uso,Residencial,182.0,7,True,False,2021,True,True,True,True,False,True
2400.0,2,2,2, Piantini,Nueva,Residencial,167.0,5,True,False,2022,True,True,True,True,True,True
2500.0,3,3,2, El Vergel,Segundo Uso,Residencial,250.0,13,True,False,2018,True,False,False,False,False,True
2500.0,2,3,2, Piantini,Nueva,Residencial,160.0,13,True,False,2021,True,True,True,True,True,False
2000.0,3,3,2, Urb. Real,Segundo Uso,Residencial,200.0,3,True,False,2023,True,True,True,False,False,False
2600.0,3,3,2, Bella Vista Norte,Nueva,Residencial,150.5397022332506,4,True,False,2023,True,True,True,True,True,True
1900.0,3,2,2, Bella Vista,Segundo Uso,Residencial,198.0,14,True,False,2018,True,True,True,False,True,True
1790.0,2,2,2, Ensanche Naco,Nueva,Residencial,115.0,8,True,False,2024,True,True,True,True,True,True
2300.0,3,2,2, Bella Vista,Nueva,Residencial,150.5397022332506,5,True,False,2024,True,True,False,True,True,True
